LocalClinicalCodeValue,ReadCodeValue,hb_extract,SampleName,ArithmeticComparator,Interpretation,QuantityUnit,RangeHighValue,RangeLowValue,RecordCount,QVAverage,QVStandardDev
CHOL,44P..,T,Serum,NULL,4.37 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,4.37,8.7058155934837E-08
CHOL,44P..,T,Serum,NULL,4.39 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.39,0
CHOL,44P..,T,Serum,NULL,4.40 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.4,8.17768979752106E-08
CHOL,44P..,T,Serum,NULL,4.43 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.43,0
CHOL,44P..,T,Serum,NULL,4.44 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.44,9.47379367636473E-08
CHOL,44P..,T,Serum,NULL,4.45 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,4.45,0
CHOL,44P..,T,Serum,NULL,4.46 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,4.46,7.94728597005208E-08
CHOL,44P..,T,Serum,NULL,4.47 mmol/L (up to 5.00 ),NULL,NULL,NULL,22,4.47,9.01137526057308E-08
CHOL,44P..,T,Serum,NULL,4.49 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.49,0
CHOL,44P..,T,Serum,NULL,4.50 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,4.5,0
CHOL,44P..,T,Serum,NULL,4.52 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.52,1.63553795950421E-07
CHOL,44P..,T,Serum,NULL,4.53 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.53,0
CHOL,44P..,T,Serum,NULL,4.54 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.54,6.61254163056885E-08
CHOL,44P..,T,Serum,NULL,4.55 mmol/L (up to 5.00 ),NULL,NULL,NULL,25,4.55,6.88255154120476E-08
CHOL,44P..,T,Serum,NULL,4.56 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.56,0
CHOL,44P..,T,Serum,NULL,4.57 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,4.57,8.7058155934837E-08
CHOL,44P..,T,Serum,NULL,4.59 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.59,0
CHOL,44P..,T,Serum,NULL,4.60 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,4.6,0
CHOL,44P..,T,Serum,NULL,4.65 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,4.65,0
CHOL,44P..,T,Serum,NULL,4.66 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.66,1.33979675042395E-07
CHOL,44P..,T,Serum,NULL,4.69 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.69,1.10366356345719E-07
CHOL,44P..,T,Serum,NULL,4.71 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,4.71,1.57208555554339E-07
CHOL,44P..,T,Serum,NULL,4.72 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,4.72,0
CHOL,44P..,T,Serum,NULL,4.73 mmol/L (up to 5.00 ),NULL,NULL,NULL,25,4.73,0
CHOL,44P..,T,Serum,NULL,4.75 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.75,0
CHOL,44P..,T,Serum,NULL,4.76 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,4.76,1.19209289550781E-07
CHOL,44P..,T,Serum,NULL,4.78 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.78,7.73532014516652E-08
CHOL,44P..,T,Serum,NULL,4.80 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.8,1.10366356345719E-07
CHOL,44P..,T,Serum,NULL,4.82 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.82,0
CHOL,44P..,T,Serum,NULL,4.83 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,4.83,0
CHOL,44P..,T,Serum,NULL,4.84 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,4.84,0
CHOL,44P..,T,Serum,NULL,4.85 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.85,0
CHOL,44P..,T,Serum,NULL,4.89 mmol/L (up to 5.00 ),NULL,NULL,NULL,23,4.89,7.1885906357232E-08
CHOL,44P..,T,Serum,NULL,4.92 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.92,0
CHOL,44P..,T,Serum,NULL,4.93 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.93,0
CHOL,44P..,T,Serum,NULL,4.98 mmol/L (up to 5.00 ),NULL,NULL,NULL,27,4.98,0
CHOL,44P..,T,Serum,NULL,5.00 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5,0
CHOL,44P..,T,Serum,NULL,5.01 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,5.01,0
CHOL,44P..,T,Serum,NULL,5.04 mmol/L (up to 5.00 ),NULL,NULL,NULL,22,5.04,0
CHOL,44P..,T,Serum,NULL,5.05 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,5.05,1.12391596029051E-07
CHOL,44P..,T,Serum,NULL,5.08 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,5.08,8.42936970217881E-08
CHOL,44P..,T,Serum,NULL,5.09 mmol/L (up to 5.00 ),NULL,NULL,NULL,25,5.09,0
CHOL,44P..,T,Serum,NULL,5.10 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,5.1,0
CHOL,44P..,T,Serum,NULL,5.11 mmol/L (up to 5.00 ),NULL,NULL,NULL,31,5.11,0
CHOL,44P..,T,Serum,NULL,5.13 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,5.13,0
CHOL,44P..,T,Serum,NULL,5.15 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,5.15,0
CHOL,44P..,T,Serum,NULL,5.17 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,5.17,0
CHOL,44P..,T,Serum,NULL,5.18 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,5.18,0
CHOL,44P..,T,Serum,NULL,5.20 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5.2,0
CHOL,44P..,T,Serum,NULL,5.21 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,5.21,1.40611606745622E-07
CHOL,44P..,T,Serum,NULL,5.22 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,5.22,5.96046447753906E-08
CHOL,44P..,T,Serum,NULL,5.23 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5.23,0
CHOL,44P..,T,Serum,NULL,5.26 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,5.26,0
CHOL,44P..,T,Serum,NULL,5.28 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5.28,0
CHOL,44P..,T,Serum,NULL,5.35 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,5.35,7.03058033728109E-08
CHOL,44P..,T,Serum,NULL,5.37 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,5.37,0
CHOL,44P..,T,Serum,NULL,5.38 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,5.38,0
CHOL,44P..,T,Serum,NULL,5.44 mmol/L (up to 5.00 ),NULL,NULL,NULL,23,5.44,1.43771812714464E-07
CHOL,44P..,T,Serum,NULL,5.45 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,5.45,0
CHOL,44P..,T,Serum,NULL,5.46 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,5.46,1.27440091091358E-07
CHOL,44P..,T,Serum,NULL,5.47 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,5.47,6.37200455456792E-08
CHOL,44P..,T,Serum,NULL,5.48 mmol/L (up to 5.00 ),NULL,NULL,NULL,28,5.48,0
CHOL,44P..,T,Serum,NULL,5.49 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,5.49,1.58945719401042E-07
CHOL,44P..,T,Serum,NULL,5.51 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,5.51,0
CHOL,44P..,T,Serum,NULL,5.52 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,5.52,1.86011671449064E-07
CHOL,44P..,T,Serum,NULL,5.53 mmol/L (up to 5.00 ),NULL,NULL,NULL,33,5.53,1.19209289550781E-07
CHOL,44P..,T,Serum,NULL,5.55 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,5.55,1.40611606745622E-07
CHOL,44P..,T,Serum,NULL,5.57 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,5.57,1.98854841286731E-07
CHOL,44P..,T,Serum,NULL,5.62 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,5.62,1.19209289550781E-07
CHOL,44P..,T,Serum,NULL,5.63 mmol/L (up to 5.00 ),NULL,NULL,NULL,26,5.63,1.9073486328125E-07
CHOL,44P..,T,Serum,NULL,5.69 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,5.69,1.23118824838238E-07
CHOL,44P..,T,Serum,NULL,5.70 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,5.7,0
CHOL,44P..,T,Serum,NULL,5.73 mmol/L (up to 5.00 ),NULL,NULL,NULL,27,5.73,0
CHOL,44P..,T,Serum,NULL,5.76 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,5.76,0
CHOL,44P..,T,Serum,NULL,5.78 mmol/L (up to 5.00 ),NULL,NULL,NULL,23,5.78,1.24510042158864E-07
CHOL,44P..,T,Serum,NULL,5.81 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5.81,0
CHOL,44P..,T,Serum,NULL,5.82 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,5.82,2.00311672786905E-07
CHOL,44P..,T,Serum,NULL,5.83 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,5.83,1.58945719401042E-07
CHOL,44P..,T,Serum,NULL,5.84 mmol/L (up to 5.00 ),NULL,NULL,NULL,26,5.84,0
CHOL,44P..,T,Serum,NULL,5.85 mmol/L (up to 5.00 ),NULL,NULL,NULL,12,5.85,0
CHOL,44P..,T,Serum,NULL,5.86 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,5.86,8.17768979752106E-08
CHOL,44P..,T,Serum,NULL,5.88 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,5.88,0
CHOL,44P..,T,Serum,NULL,5.89 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,5.89,0
CHOL,44P..,T,Serum,NULL,5.92 mmol/L (up to 5.00 ),NULL,NULL,NULL,11,5.92,0
CHOL,44P..,T,Serum,NULL,5.93 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,5.93,0
CHOL,44P..,T,Serum,NULL,5.98 mmol/L (up to 5.00 ),NULL,NULL,NULL,11,5.98,0
CHOL,44P..,T,Serum,NULL,5.99 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,5.99,1.46000965999554E-07
CHOL,44P..,T,Serum,NULL,6.04 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,6.04,0
CHOL,44P..,T,Serum,NULL,6.05 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,6.05,1.68587394043576E-07
CHOL,44P..,T,Serum,NULL,6.06 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,6.06,0
CHOL,44P..,T,Serum,NULL,6.07 mmol/L (up to 5.00 ),NULL,NULL,NULL,11,6.07,0
CHOL,44P..,T,Serum,NULL,6.08 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,6.08,1.19209289550781E-07
CHOL,44P..,T,Serum,NULL,6.09 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,6.09,0
CHOL,44P..,T,Serum,NULL,6.13 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,6.13,0
CHOL,44P..,T,Serum,NULL,6.18 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,6.18,0
CHOL,44P..,T,Serum,NULL,6.20 mmol/L (up to 5.00 ),NULL,NULL,NULL,12,6.2,0
CHOL,44P..,T,Serum,NULL,6.22 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,6.22,0
CHOL,44P..,T,Serum,NULL,6.23 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,6.23,0
CHOL,44P..,T,Serum,NULL,6.28 mmol/L (up to 5.00 ),NULL,NULL,NULL,11,6.28,0
CHOL,44P..,T,Serum,NULL,6.33 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,6.33,0
CHOL,44P..,T,Serum,NULL,6.38 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,6.38,0
CHOL,44P..,T,Serum,NULL,6.39 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,6.39,9.73339773330362E-08
CHOL,44P..,T,Serum,NULL,6.45 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,6.45,0
CHOL,44P..,T,Serum,NULL,6.46 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,6.46,1.80227505211462E-07
CHOL,44P..,T,Serum,NULL,6.50 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,6.5,0
CHOL,44P..,T,Serum,NULL,6.54 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,6.54,0
CHOL,44P..,T,Serum,NULL,6.59 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,6.59,0
CHOL,44P..,T,Serum,NULL,6.61 mmol/L (up to 5.00 ),NULL,NULL,NULL,11,6.61,0
CHOL,44P..,T,Serum,NULL,6.64 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,6.64,9.01137526057308E-08
CHOL,44P..,T,Serum,NULL,6.67 mmol/L (up to 5.00 ),NULL,NULL,NULL,11,6.67,0
CHOL,44P..,T,Serum,NULL,6.70 mmol/L (up to 5.00 ),NULL,NULL,NULL,12,6.7,0
CHOL,44P..,T,Serum,NULL,6.71 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,6.71,0
CHOL,44P..,T,Serum,NULL,6.73 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,6.73,0
CHOL,44P..,T,Serum,NULL,6.74 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,6.74,1.23118824838238E-07
CHOL,44P..,T,Serum,NULL,6.75 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,6.75,0
CHOL,44P..,T,Serum,NULL,6.77 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,6.77,1.8848643661549E-07
CHOL,44P..,T,Serum,NULL,6.78 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,6.78,0
CHOL,44P..,T,Serum,NULL,6.82 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,6.82,8.42936970217881E-08
CHOL,44P..,T,Serum,NULL,6.85 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,6.85,0
CHOL,44P..,T,Serum,NULL,6.86 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,6.86,0
CHOL,44P..,T,Serum,NULL,6.93 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,6.93,0
CHOL,44P..,T,Serum,NULL,6.95 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,6.95,0
CHOL,44P..,T,Serum,NULL,6.96 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,6.96,9.73339773330362E-08
CHOL,44P..,T,Serum,NULL,6.99 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,6.99,0
CHOL,44P..,T,Serum,NULL,7.10 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,7.1,0
CHOL,44P..,T,Serum,NULL,7.13 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,7.13,0
CHOL,44P..,T,Serum,NULL,7.14 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,7.14,0
CHOL,44P..,T,Serum,NULL,7.16 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,7.16,1.56081597973818E-07
CHOL,44P..,T,Serum,NULL,7.32 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,7.32,9.73339773330362E-08
CHOL,44P..,T,Serum,NULL,7.43 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,7.43,9.73339773330362E-08
CHOL,44P..,T,Serum,NULL,7.79 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,7.79,0
CHOL,44P..,T,Serum,NULL,8.14 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,8.14,0
CHOL,44P..,T,Serum,NULL,BIN,NULL,NULL,NULL,7,NULL,NULL
CHOL,44P..,T,Serum,NULL,BR,NULL,NULL,NULL,6,NULL,NULL
CHOL,44P..,T,Serum,NULL,ERR,NULL,NULL,NULL,7,NULL,NULL
CHOL,44P..,T,Serum,NULL,HM,NULL,NULL,NULL,24,NULL,NULL
CHOL,44P..,T,Serum,NULL,NA,NULL,NULL,NULL,31,NULL,NULL
CHOL,44P..,T,Serum,NULL,NS,NULL,NULL,NULL,169,NULL,NULL
CHOL,44P..,T,Serum,NULL,UNL,NULL,NULL,NULL,8,NULL,NULL
CHOL,44P..,T,Serum,NULL,US,NULL,NULL,NULL,84,NULL,NULL
CHOL,44P..,T,Blood,NULL,INSUFFICIENT SAMPLE FOR ANALYSIS.,NULL,NULL,NULL,83,NULL,NULL
CHOL,44P..,T,Blood,NULL,NO SAMPLE RECEIVED.,NULL,NULL,NULL,222,NULL,NULL
CHOL,44P..,T,Blood,NULL,NO SST (GOLD TOP) SAMPLE RECEIVED,NULL,NULL,NULL,76,NULL,NULL
CHOL,44P..,T,Blood,NULL,NOT REQUESTED,NULL,NULL,NULL,7,NULL,NULL
CHOL,44P..,T,Blood,NULL,SAMPLE HAEMOLYSED,NULL,NULL,NULL,522,NULL,NULL
CHOL,44P..,T,Blood,NULL,NULL,mmol/L,5,NULL,13,4.4776922922868,0.980774829745155
CHOL,44P..,T,Blood,NULL,NULL,mmol/L,5.00,NULL,194949,4.70474385836282,1.18285657052505
CHOL,44P..,T,Serum,NULL,3.35 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,3.35,0
CHOL,44P..,T,Serum,NULL,3.40 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,3.4,0
CHOL,44P..,T,Serum,NULL,3.46 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,3.46,0
CHOL,44P..,T,Serum,NULL,3.53 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,3.53,0
CHOL,44P..,T,Serum,NULL,3.58 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,3.58,5.33120149970004E-08
CHOL,44P..,T,Serum,NULL,3.62 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,3.62,0
CHOL,44P..,T,Serum,NULL,3.64 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,3.64,4.2146848510894E-08
CHOL,44P..,T,Serum,NULL,3.66 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,3.66,0
CHOL,44P..,T,Serum,NULL,3.72 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,3.72,7.8040798986909E-08
CHOL,44P..,T,Serum,NULL,3.75 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,3.75,0
CHOL,44P..,T,Serum,NULL,3.76 mmol/L (up to 5.00 ),NULL,NULL,NULL,9,3.76,5.96046447753906E-08
CHOL,44P..,T,Serum,NULL,3.77 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,3.77,0
CHOL,44P..,T,Serum,NULL,3.80 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,3.8,0
CHOL,44P..,T,Serum,NULL,3.81 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,3.81,4.50568763028654E-08
CHOL,44P..,T,Serum,NULL,3.82 mmol/L (up to 5.00 ),NULL,NULL,NULL,7,3.82,4.86669886665181E-08
CHOL,44P..,T,Serum,NULL,3.88 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,3.88,0
CHOL,44P..,T,Serum,NULL,3.96 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,3.96,0
CHOL,44P..,T,Serum,NULL,4.00 mmol/L (up to 5.00 ),NULL,NULL,NULL,12,4,0
CHOL,44P..,T,Serum,NULL,4.03 mmol/L (up to 5.00 ),NULL,NULL,NULL,12,4.03,7.1885906357232E-08
CHOL,44P..,T,Serum,NULL,4.04 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,4.04,0
CHOL,44P..,T,Serum,NULL,4.06 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,4.06,0
CHOL,44P..,T,Serum,NULL,4.07 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.07,0
CHOL,44P..,T,Serum,NULL,4.09 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.09,0
CHOL,44P..,T,Serum,NULL,4.12 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,4.12,0
CHOL,44P..,T,Serum,NULL,4.13 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.13,0
CHOL,44P..,T,Serum,NULL,4.18 mmol/L (up to 5.00 ),NULL,NULL,NULL,8,4.18,0
CHOL,44P..,T,Serum,NULL,4.20 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,4.2,5.33120149970004E-08
CHOL,44P..,T,Serum,NULL,4.21 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.21,0
CHOL,44P..,T,Serum,NULL,4.22 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,4.22,7.94728597005208E-08
CHOL,44P..,T,Serum,NULL,4.23 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.23,0
CHOL,44P..,T,Serum,NULL,4.26 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.26,1.23709326186841E-07
CHOL,44P..,T,Serum,NULL,4.27 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.27,1.23709326186841E-07
CHOL,44P..,T,Serum,NULL,4.28 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.28,0
CHOL,44P..,T,Serum,NULL,4.29 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.29,0
CHOL,44P..,T,Serum,NULL,4.33 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.33,6.61254163056885E-08
CHOL,44P..,T,Serum,NULL,4.34 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.34,0
CHOL,44P..,T,Serum,NULL,4.35 mmol/L (up to 5.00 ),NULL,NULL,NULL,10,4.35,0
CHOL,44P..,T,Serum,NULL,4.38 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.38,0
CHOL,44P..,T,Serum,NULL,4.41 mmol/L (up to 5.00 ),NULL,NULL,NULL,14,4.41,1.14532580713096E-07
CHOL,44P..,T,Serum,NULL,4.42 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.42,0
CHOL,44P..,T,Serum,NULL,4.48 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.48,0
CHOL,44P..,T,Serum,NULL,4.51 mmol/L (up to 5.00 ),NULL,NULL,NULL,26,4.51,0
CHOL,44P..,T,Serum,NULL,4.58 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.58,1.33979675042395E-07
CHOL,44P..,T,Serum,NULL,4.61 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.61,0
CHOL,44P..,T,Serum,NULL,4.62 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.62,0
CHOL,44P..,T,Serum,NULL,4.63 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.63,5.46969732929615E-08
CHOL,44P..,T,Serum,NULL,4.64 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,4.64,0
CHOL,44P..,T,Serum,NULL,4.67 mmol/L (up to 5.00 ),NULL,NULL,NULL,23,4.67,0
CHOL,44P..,T,Serum,NULL,4.68 mmol/L (up to 5.00 ),NULL,NULL,NULL,6,4.68,0
CHOL,44P..,T,Serum,NULL,4.70 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,4.7,5.33120149970004E-08
CHOL,44P..,T,Serum,NULL,4.74 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.74,0
CHOL,44P..,T,Serum,NULL,4.77 mmol/L (up to 5.00 ),NULL,NULL,NULL,20,4.77,1.72967016723159E-07
CHOL,44P..,T,Serum,NULL,4.79 mmol/L (up to 5.00 ),NULL,NULL,NULL,15,4.79,0
CHOL,44P..,T,Serum,NULL,4.81 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.81,0
CHOL,44P..,T,Serum,NULL,4.86 mmol/L (up to 5.00 ),NULL,NULL,NULL,26,4.86,0
CHOL,44P..,T,Serum,NULL,4.87 mmol/L (up to 5.00 ),NULL,NULL,NULL,23,4.87,0
CHOL,44P..,T,Serum,NULL,4.88 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,4.88,0
CHOL,44P..,T,Serum,NULL,4.90 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,4.9,9.73339773330362E-08
CHOL,44P..,T,Serum,NULL,4.91 mmol/L (up to 5.00 ),NULL,NULL,NULL,28,4.91,1.58945719401042E-07
CHOL,44P..,T,Serum,NULL,4.94 mmol/L (up to 5.00 ),NULL,NULL,NULL,22,4.94,7.35775708971462E-08
CHOL,44P..,T,Serum,NULL,4.95 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.95,0
CHOL,44P..,T,Serum,NULL,4.96 mmol/L (up to 5.00 ),NULL,NULL,NULL,22,4.96,1.64524450145329E-07
CHOL,44P..,T,Serum,NULL,4.97 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,4.97,0
CHOL,44P..,T,Serum,NULL,4.99 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,4.99,8.42936970217881E-08
CHOL,44P..,T,Serum,NULL,5.02 mmol/L (up to 5.00 ),NULL,NULL,NULL,24,5.02,1.40611606745622E-07
CHOL,44P..,T,Serum,NULL,5.03 mmol/L (up to 5.00 ),NULL,NULL,NULL,23,5.03,0
CHOL,44P..,T,Serum,NULL,5.06 mmol/L (up to 5.00 ),NULL,NULL,NULL,22,5.06,0
CHOL,44P..,T,Serum,NULL,5.07 mmol/L (up to 5.00 ),NULL,NULL,NULL,23,5.07,1.76083790272712E-07
CHOL,44P..,T,Serum,NULL,5.12 mmol/L (up to 5.00 ),NULL,NULL,NULL,26,5.12,0
CHOL,44P..,T,Serum,NULL,5.14 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5.14,0
CHOL,44P..,T,Serum,NULL,5.16 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5.16,1.68587394043576E-07
CHOL,44P..,T,Serum,NULL,5.19 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,5.19,1.19209289550781E-07
CHOL,44P..,T,Serum,NULL,5.24 mmol/L (up to 5.00 ),NULL,NULL,NULL,13,5.24,0
CHOL,44P..,T,Serum,NULL,5.25 mmol/L (up to 5.00 ),NULL,NULL,NULL,26,5.25,0
CHOL,44P..,T,Serum,NULL,5.27 mmol/L (up to 5.00 ),NULL,NULL,NULL,17,5.27,1.46000965999554E-07
CHOL,44P..,T,Serum,NULL,5.29 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,5.29,0
CHOL,44P..,T,Serum,NULL,5.30 mmol/L (up to 5.00 ),NULL,NULL,NULL,26,5.3,6.74349576174305E-08
CHOL,44P..,T,Serum,NULL,5.31 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,5.31,0
CHOL,44P..,T,Serum,NULL,5.32 mmol/L (up to 5.00 ),NULL,NULL,NULL,21,5.32,1.68587394043576E-07
CHOL,44P..,T,Serum,NULL,5.33 mmol/L (up to 5.00 ),NULL,NULL,NULL,18,5.33,1.29300628792439E-07
CHOL,44P..,T,Serum,NULL,5.34 mmol/L (up to 5.00 ),NULL,NULL,NULL,19,5.34,0
CHOL,44P..,T,Serum,NULL,5.36 mmol/L (up to 5.00 ),NULL,NULL,NULL,16,5.36,0
